score_etoiles,score_dc,titre,entreprise,secteur_norm,niveau_norm,lieu,contrat,date_pub,date_limite,salaire,niveau_source,secteur_source,source,url,date_collecte
★★★☆☆,3,STAGIAIRE EN CREATION DE CONTENU DIGITAL...,,Tech & Digital,Stage,Côte d'Ivoire,,19/06/2026,30/06/2026,,,,Educarriere,https://emploi.educarriere.ci/offre-151400-stagiaire-en-creation-de-contenu-digitale.html,2026-06-19
★★★☆☆,3,Stagiaire Technicien Informatique (H/F),YESHI GROUP,Tech & Digital,Stage,Côte d'ivoire,,09 Avril,,,Stagiaire / Etudiant ( 3 à 5 ans ),,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136664-stagiaire-technicien-informatique-h-f,2026-06-19
★★★☆☆,3,ENSEIGNANTS DE LA MATERNELLE,,Éducation & Formation,Confirmé,Côte d'Ivoire,,16/06/2026,25/06/2026,,,,Educarriere,https://emploi.educarriere.ci/offre-151197-enseignants-de-la-maternelle.html,2026-06-19
★★★☆☆,3,ENSEIGNANTS DU PRIMAIRE,,Éducation & Formation,Confirmé,Côte d'Ivoire,,16/06/2026,25/06/2026,,,,Educarriere,https://emploi.educarriere.ci/offre-151200-enseignants-du-primaire.html,2026-06-19
★★☆☆☆,2,OPERATEUR DE SAISIE (2) H/F - BOUAKE,SOLIBRA (Société de Limonaderies et de Brasseries d'Afrique),Administration,Junior,"Bouake, Côte d'ivoire",,26 Mai,,,Débutant / Junior ( 1 à 2 ans ),,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/bouake/136704-operateur-de-saisie-2-h-f-bouake,2026-06-19
★★☆☆☆,2,CHEF DE QUAI H/F - BOUAKE,SOLIBRA (Société de Limonaderies et de Brasseries d'Afrique),Logistique & Achats,Junior,"Bouake, Côte d'ivoire",,26 Mai,,,Débutant / Junior ( 1 à 2 ans ),,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/bouake/136700-chef-de-quai-h-f-bouake,2026-06-19
★★☆☆☆,2,MAGASINIER EMBALLAGES -  H/F - BOUAKE,SOLIBRA (Société de Limonaderies et de Brasseries d'Afrique),Logistique & Achats,Junior,"Bouake, Côte d'ivoire",,26 Mai,,,Débutant / Junior ( 1 à 2 ans ),,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/bouake/136701-magasinier-emballages-h-f-bouake,2026-06-19
★★☆☆☆,2,MAGASINIER PRODUITS FINIS (2) H/F - BOUAKE,SOLIBRA (Société de Limonaderies et de Brasseries d'Afrique),Logistique & Achats,Junior,"Bouake, Côte d'ivoire",,26 Mai,,,Débutant / Junior ( 1 à 2 ans ),,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/bouake/136702-magasinier-produits-finis-2-h-f-bouake,2026-06-19
★★☆☆☆,2,POINTEUR QUAI (5) H/F - BOUAKE,SOLIBRA (Société de Limonaderies et de Brasseries d'Afrique),Logistique & Achats,Junior,"Bouake, Côte d'ivoire",,26 Mai,,,Débutant / Junior ( 1 à 2 ans ),,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/bouake/136703-pointeur-quai-5-h-f-bouake,2026-06-19
★★☆☆☆,2,Stagiaire Assistant Administratif Achat / Import (H/F),YESHI GROUP,Logistique & Achats,Stage,Côte d'ivoire,,03 Juin,,,Jeune diplômé ( Moins d’un an ),,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136714-stagiaire-assistant-administratif-achat-import-h-f,2026-06-19
